episode,Episode_reward,Loss
0,-9491.820497927927,-21305386.0
1,-7536.268544006857,-349735296.0
2,-9716.834157106934,-348801952.0
3,-10132.85192089727,-954812864.0
4,-5073.421382016694,-1049816448.0
5,-10999.867798403919,-1624498304.0
6,-8845.406472285584,-1629297280.0
7,-6954.228859745095,-1981785344.0
8,-9813.817201947984,-3139551232.0
9,-9343.292000320553,-5312057856.0
10,-11679.413493899317,-6562542080.0
11,-9035.39037251046,-5678062592.0
12,-6724.384484118453,-5578559488.0
13,-7790.8046641635965,-8092818432.0
14,-9221.094602391484,-9375527936.0
15,-6317.406703798766,-8562460672.0
16,-8942.378911305324,-11040678912.0
17,-9945.803341855662,-7390774272.0
18,-9146.668289335434,-13449715712.0
19,-10764.744040102327,-13882057728.0
20,-11721.826128546001,-15632572416.0
21,-7073.927781203335,-11245436928.0
22,-8852.677777761503,-12975137792.0
23,-8378.375245591167,-22439999488.0
24,-7179.809177159877,-28745363456.0
25,-9058.805913191196,-25255651328.0
26,-7794.931614724037,-19457609728.0
27,-11522.410471679064,-46478548992.0
28,-11237.49855984369,-41989283840.0
29,-9730.33141130088,-29874941952.0
30,-9718.089408568054,-31343462400.0
31,-7425.114060862336,-44674883584.0
32,-8664.64786314017,-25192861696.0
33,-8155.085290166205,-41923112960.0
34,-7337.944978283441,-36639043584.0
35,-8323.433266268526,-33547444224.0
36,-7299.33007510916,-43815288832.0
37,-8863.446445945083,-58555957248.0
38,-9909.16866121821,-55210082304.0
39,-7765.8251433781115,-41536892928.0
40,-8146.375521657828,-49083789312.0
41,-9796.137567127511,-50399600640.0
42,-8945.053263849355,-27465336832.0
43,-7673.609500828379,-53169901568.0
44,-11921.639282464346,-78079385600.0
45,-9887.454670142133,-101102878720.0
46,-6472.87130697901,-37319999488.0
47,-9005.425934662513,-60308090880.0
48,-10041.454699535225,-60470022144.0
49,-8760.730053751253,-44277858304.0
50,-11516.233160531094,-133429993472.0
51,-8765.045488756976,-135733567488.0
52,-9203.531956197372,-107766022144.0
53,-9611.449587336647,-130831908864.0
54,-7981.506995071416,-91748777984.0
55,-8951.178035131477,-152883412992.0
56,-8296.964121589253,-120994709504.0
57,-11355.321946229426,-138391044096.0
58,-7908.3291633634635,-132736172032.0
59,-7978.707485298465,-130646294528.0
60,-12582.376284151052,-153293504512.0
61,-8608.350181895787,-95882895360.0
62,-9433.38217766639,-126020460544.0
63,-8726.675320821021,-88171741184.0
64,-9495.250050704286,-130136162304.0
65,-11343.528266429139,-204065751040.0
66,-6375.901057708738,-95613779968.0
67,-6580.151040161502,-132394123264.0
68,-9185.970898114812,-71067410432.0
69,-8484.835874981196,-197860540416.0
70,-8974.250041136454,-183573692416.0
71,-8206.40707550404,-152683036672.0
72,-10170.403648072437,-205048741888.0
73,-7288.308711009639,-166032375808.0
74,-8318.829165362771,-236571164672.0
75,-8912.485733975594,-170643292160.0
76,-10474.27483016972,-193893842944.0
77,-6769.6804550841825,-171634688000.0
78,-9435.65182920309,-222814224384.0
79,-9358.053028431877,-169858138112.0
80,-10169.454311062173,-264716763136.0
81,-8835.96152133762,-272698589184.0
82,-9219.420542857675,-224347275264.0
83,-10574.22691913551,-311308058624.0
84,-8577.416399945463,-250115293184.0
85,-6690.382058354632,-205873217536.0
86,-9305.145656086757,-190540808192.0
87,-7753.340253670482,-269851869184.0
88,-7591.910145140754,-210952847360.0
89,-10390.72149650792,-306166497280.0
90,-10208.78669136982,-227003301888.0
91,-7488.731176414383,-195811016704.0
92,-8883.329977160163,-264429666304.0
93,-8548.11272290086,-147361333248.0
94,-8928.566872607436,-295894450176.0
95,-6989.593412989729,-246356328448.0
96,-10250.60498194107,-359223001088.0
97,-9156.113885080578,-148756168704.0
98,-9212.327356884214,-266463117312.0
99,-5723.782132755298,-218535247872.0
100,-6360.418912356157,-159770820608.0
101,-9650.160579395466,-210357239808.0
102,-8001.691421013394,-247843962880.0
103,-9749.010121534551,-200054882304.0
104,-8842.139320534958,-264867414016.0
105,-7818.836810507825,-326606192640.0
106,-8573.767973198084,-337713332224.0
107,-9367.169426639584,-541757145088.0
108,-7370.419379438024,-294980288512.0
109,-9074.958097233184,-403767623680.0
110,-9584.826928920007,-332116557824.0
111,-10275.207993390964,-312072536064.0
112,-10751.730161210926,-482528231424.0
113,-8509.82699527901,-276140752896.0
114,-10498.560864064002,-290452733952.0
115,-12442.197734146526,-330702454784.0
116,-7780.687930502595,-356104568832.0
117,-10161.19610659567,-481637105664.0
118,-8976.035345162834,-475943862272.0
119,-10634.031631462816,-568443469824.0
120,-8554.584618375333,-348404842496.0
121,-10689.470932321005,-532438384640.0
122,-7020.43800982186,-299587993600.0
123,-6072.372912913984,-448065961984.0
124,-9161.19814345239,-490657644544.0
125,-8557.3576729714,-378757709824.0
126,-11698.32424730498,-654906556416.0
127,-11689.928959656825,-335339388928.0
128,-7720.684652629701,-307010273280.0
129,-7450.278878928279,-312544395264.0
130,-6018.00580921711,-362652565504.0
131,-9618.629820964372,-403245760512.0
132,-5960.424336852051,-517304418304.0
133,-7924.624841577512,-461997932544.0
134,-7501.396830569718,-308324007936.0
135,-6037.569779772313,-448342130688.0
136,-9249.40701819951,-677149802496.0
137,-10019.69451552425,-704398950400.0
138,-3716.579476657301,-302268645376.0
139,-8915.9563149979,-376730091520.0
140,-10044.345955078397,-534727426048.0
141,-8093.463762658002,-375872126976.0
142,-9763.220849555688,-707514662912.0
143,-10993.386453995008,-581500796928.0
144,-11700.071956858153,-629798862848.0
145,-11098.210174270256,-767867617280.0
146,-6700.9207517715095,-323606839296.0
147,-8277.10137549701,-530268585984.0
148,-9553.96227286655,-587710595072.0
149,-8668.797169330013,-371760758784.0
150,-8952.057618043109,-503023042560.0
151,-11209.708105924115,-622665662464.0
152,-7517.415071431625,-820029292544.0
153,-6830.4052348285095,-486033457152.0
154,-6535.061099297439,-118550298624.0
155,-7672.982934750506,-372460716032.0
156,-7602.888794889125,-379981332480.0
157,-9129.744531023282,-945252335616.0
158,-8422.476284414295,-466585845760.0
159,-6930.746287179874,-630517202944.0
160,-9435.834975128446,-657292918784.0
161,-9939.798690895685,-684689195008.0
162,-10292.894361509745,-574145036288.0
163,-9121.857985129513,-435503628288.0
164,-10356.5991731093,-556637224960.0
165,-7926.242179683855,-148803665920.0
166,-7630.689219737357,-801807728640.0
167,-7757.387804794734,-932236427264.0
168,-7567.140477764231,-462547255296.0
169,-5935.869849274832,-458001383424.0
170,-8311.494770618205,-750039465984.0
171,-8869.405463322355,-412449570816.0
172,-9286.251027124494,-559611117568.0
173,-6934.829280285077,-755535183872.0
174,-7763.1694923958485,-408448827392.0
175,-8412.849499805618,-818800885760.0
176,-8672.113894930855,-932407672832.0
177,-8134.193789886424,-659772932096.0
178,-9280.266483188545,-522951294976.0
179,-9660.729752747786,-947930398720.0
180,-7127.8074856083895,-1020099690496.0
181,-10319.292179272445,-1127916109824.0
182,-7675.621628080187,-592955572224.0
183,-9148.285751999021,-1279741132800.0
184,-7975.904994326457,-766398169088.0
185,-8003.8848383770255,-703792676864.0
186,-11664.466117628072,-872692252672.0
187,-10052.269878479738,-912844652544.0
188,-8348.779773668428,-907947868160.0
189,-7681.774952384557,-1141457944576.0
190,-7608.916609043018,-1096434778112.0
191,-10567.120568740886,-460127731712.0
192,-8530.687367647597,-884270432256.0
193,-8288.388175203649,-1259839422464.0
194,-8350.88423639081,-756706115584.0
195,-7983.876890973775,-1289287892992.0
196,-9224.042585564044,-707415179264.0
197,-11025.401833040769,-342016262144.0
198,-8521.89143729789,-1011022299136.0
199,-10265.52129961894,-943937159168.0
